sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,seer,observaciones_equivalencia,proveedor_original,sku_original,precio_referencia,unidad
TMP-DCE229FD,Transformador 150-440-24 150Va 440-24V,Otros,Otros,Genérica,,Transformador 150-440-24 150Va 440-24V,,,,,,Transformador 150-440-24 150Va 440-24V,Grupo Coresa,COR-181201-00008967,1145.76,Pieza
TMP-E2EEE998,Relevador Schrack RUMC2AB1B7 24V,Otros,Otros,Genérica,,Relevador Schrack RUMC2AB1B7 24V,,,,,,Relevador Schrack RUMC2AB1B7 24V,Grupo Coresa,COR-181201-00008977,189.23,Pieza
TMP-0C41D80E,Relevador Schrack RUMC2AB1B7 24V,Otros,Otros,Genérica,,Relevador Schrack RUMC2AB1B7 24V,,,,,,Relevador Schrack RUMC2AB1B7 24V,Grupo Coresa,COR-181201-00008977,189.23,Pieza
TMP-33E8CAF2,Interruptor Termomagnético IUSA 616644,Otros,Otros,Genérica,,Interruptor Termomagnético IUSA 616644,,,,,,Interruptor Termomagnético IUSA 616644,Grupo Coresa,COR-181201-00008987,130.15,Pieza
TMP-4332D833,Interruptor Termomagnético IUSA 616644,Otros,Otros,Genérica,,Interruptor Termomagnético IUSA 616644,,,,,,Interruptor Termomagnético IUSA 616644,Grupo Coresa,COR-181201-00008987,130.15,Pieza
TMP-6D377052,Protector Surge para Motor Ecm 10860/10861 Mars 8593,Otros,Otros,Genérica,,Protector Surge para Motor Ecm 10860/10861 Mars 8593,,,,,,Protector Surge para Motor Ecm 10860/10861 Mars 8593,Grupo Coresa,COR-181201-00008993,94.25,Pieza
TMP-D481ED56,Protector Surge para Motor Ecm 10860/10861 Mars 8593,Otros,Otros,Genérica,,Protector Surge para Motor Ecm 10860/10861 Mars 8593,,,,,,Protector Surge para Motor Ecm 10860/10861 Mars 8593,Grupo Coresa,COR-181201-00008993,94.25,Pieza
RF-CAP-F55A,Capacitor de Arranque Mars 11922 340-408Mfd 110V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 408 Mfd,,,,,,Capacitor de Arranque Mars 11922 340-408Mfd 110V,Grupo Coresa,COR-181201-00009004,121.67,Pieza
RF-CAP-D88B,Capacitor de Arranque Mars 11922 340-408Mfd 110V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 408 Mfd,,,,,,Capacitor de Arranque Mars 11922 340-408Mfd 110V,Grupo Coresa,COR-181201-00009004,121.67,Pieza
RF-CAP-B506,"Capacitor para MMCC1821C,1821H,1170100027 Mirage 141148",Refacciones Menores,Capacitores,Genérica,,"Capacitor para MMCC1821C,1821H,1170100027 Mirage 141148",,,,,,"Capacitor para MMCC1821C,1821H,1170100027 Mirage 141148",Grupo Coresa,COR-181201-00009006,17.04,Pieza
RF-CAP-4DD2,"Capacitor para MMCC1821C,1821H,1170100027 Mirage 141148",Refacciones Menores,Capacitores,Genérica,,"Capacitor para MMCC1821C,1821H,1170100027 Mirage 141148",,,,,,"Capacitor para MMCC1821C,1821H,1170100027 Mirage 141148",Grupo Coresa,COR-181201-00009006,17.04,Pieza
TMP-F6DF64C7,Transformador 75-220-24 75Va 220-24V,Otros,Otros,Genérica,,Transformador 75-220-24 75Va 220-24V,,,,,,Transformador 75-220-24 75Va 220-24V,Grupo Coresa,COR-181201-00009077,588.25,Pieza
TMP-92D0A755,Transformador 75-220-24 75Va 220-24V,Otros,Otros,Genérica,,Transformador 75-220-24 75Va 220-24V,,,,,,Transformador 75-220-24 75Va 220-24V,Grupo Coresa,COR-181201-00009077,588.25,Pieza
RF-CAP-A994,Capacitor de Arranque Mars 11968 186-227Mfd 330V Copeland 304 014000603,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 227 Mfd,,,,,,Capacitor de Arranque Mars 11968 186-227Mfd 330V Copeland 304 014000603,Grupo Coresa,COR-181201-00009104,198.85,Pieza
RF-CAP-BD10,Capacitor de Arranque Mars 11968 186-227Mfd 330V Copeland 304 014000603,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 227 Mfd,,,,,,Capacitor de Arranque Mars 11968 186-227Mfd 330V Copeland 304 014000603,Grupo Coresa,COR-181201-00009104,198.85,Pieza
RF-CMP-9AE5,Relevador Combo 1/3 para Compresor Danfoss CPR-4123,Refacciones Mayores,Compresores,Genérica,,Relevador Combo 1/3 para Compresor Danfoss CPR-4123,,,,,,Relevador Combo 1/3 para Compresor Danfoss CPR-4123,Grupo Coresa,COR-181201-00009177,91.16,Pieza
RF-CMP-B67C,Relevador Combo 1/3 para Compresor Danfoss CPR-4123,Refacciones Mayores,Compresores,Genérica,,Relevador Combo 1/3 para Compresor Danfoss CPR-4123,,,,,,Relevador Combo 1/3 para Compresor Danfoss CPR-4123,Grupo Coresa,COR-181201-00009177,91.16,Pieza
RF-CON-4F2B,Contactor Emerson 6656-90-165 3 Polos 30 Ampers Bobina 50/60 Hz 220V,Refacciones Menores,Contactores,Genérica,,Contactor 3 Polos 30A,,,,,,Contactor Emerson 6656-90-165 3 Polos 30 Ampers Bobina 50/60 Hz 220V,Grupo Coresa,COR-181201-00009184,873.68,Pieza
RF-CON-ADD9,Contactor Emerson 6656-90-165 3 Polos 30 Ampers Bobina 50/60 Hz 220V,Refacciones Menores,Contactores,Genérica,,Contactor 3 Polos 30A,,,,,,Contactor Emerson 6656-90-165 3 Polos 30 Ampers Bobina 50/60 Hz 220V,Grupo Coresa,COR-181201-00009184,873.68,Pieza
RF-CAP-3311,Capacitor de Trabajo Mars 12917 30Mfd 370V Ovalado,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 30 Mfd,,,,,,Capacitor de Trabajo Mars 12917 30Mfd 370V Ovalado,Grupo Coresa,COR-181201-00009204,89.62,Pieza
RF-CAP-FDA6,Capacitor de Trabajo Mars 12917 30Mfd 370V Ovalado,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 30 Mfd,,,,,,Capacitor de Trabajo Mars 12917 30Mfd 370V Ovalado,Grupo Coresa,COR-181201-00009204,89.62,Pieza
RF-CON-9125,Contactor Emerson 6657-92-463 3 Polos 60 Ampers Bobina 50/60 Hz 24V,Refacciones Menores,Contactores,Genérica,,Contactor 3 Polos 60A,,,,,,Contactor Emerson 6657-92-463 3 Polos 60 Ampers Bobina 50/60 Hz 24V,Grupo Coresa,COR-181201-00009284,2628.47,Pieza
RF-CON-A612,Contactor Emerson 6657-92-463 3 Polos 60 Ampers Bobina 50/60 Hz 24V,Refacciones Menores,Contactores,Genérica,,Contactor 3 Polos 60A,,,,,,Contactor Emerson 6657-92-463 3 Polos 60 Ampers Bobina 50/60 Hz 24V,Grupo Coresa,COR-181201-00009284,2628.47,Pieza
RF-CAP-18D2,Capacitor de Trabajo Mars 12972 35/5Mfd 370V Ovalado,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 35/5 Mfd,,,,,,Capacitor de Trabajo Mars 12972 35/5Mfd 370V Ovalado,Grupo Coresa,COR-181201-00009304,101.44,Pieza
RF-CAP-E4A1,Capacitor de Trabajo Mars 12972 35/5Mfd 370V Ovalado,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 35/5 Mfd,,,,,,Capacitor de Trabajo Mars 12972 35/5Mfd 370V Ovalado,Grupo Coresa,COR-181201-00009304,101.44,Pieza
RF-CAP-3E88,Capacitor de Arranque 189-227 110 1/3-1/2 Hp 189-227Mfd 110V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 227 Mfd,,,,,,Capacitor de Arranque 189-227 110 1/3-1/2 Hp 189-227Mfd 110V,Grupo Coresa,COR-181201-00009363,52.84,Pieza
RF-CAP-DA6A,Capacitor de Arranque 189-227 110 1/3-1/2 Hp 189-227Mfd 110V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 227 Mfd,,,,,,Capacitor de Arranque 189-227 110 1/3-1/2 Hp 189-227Mfd 110V,Grupo Coresa,COR-181201-00009363,52.84,Pieza
RF-CAP-07F5,Capacitor de Trabajo Dual Mars 12760 20/5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 20/5 Mfd,,,,,,Capacitor de Trabajo Dual Mars 12760 20/5Mfd 370V,Grupo Coresa,COR-181201-00009404,95.31,Pieza
RF-CAP-A70C,Capacitor de Trabajo Dual Mars 12760 20/5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 20/5 Mfd,,,,,,Capacitor de Trabajo Dual Mars 12760 20/5Mfd 370V,Grupo Coresa,COR-181201-00009404,95.31,Pieza
RF-CAP-6481,Capacitor de Arranque 540-648 110 1-1 1/2 Hp 540-648Mfd 110V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 648 Mfd,,,,,,Capacitor de Arranque 540-648 110 1-1 1/2 Hp 540-648Mfd 110V,Grupo Coresa,COR-181201-00009463,108.74,Pieza
RF-CAP-5E07,Capacitor de Arranque 540-648 110 1-1 1/2 Hp 540-648Mfd 110V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 648 Mfd,,,,,,Capacitor de Arranque 540-648 110 1-1 1/2 Hp 540-648Mfd 110V,Grupo Coresa,COR-181201-00009463,108.74,Pieza
RF-CAP-2262,Capacitor Estado Sólido Mars 12386 4.0Mfd 450V,Refacciones Menores,Capacitores,Genérica,,Capacitor  4.0 Mfd,,,,,,Capacitor Estado Sólido Mars 12386 4.0Mfd 450V,Grupo Coresa,COR-181201-00009504,44.07,Pieza
RF-CAP-CA54,Capacitor Estado Sólido Mars 12386 4.0Mfd 450V,Refacciones Menores,Capacitores,Genérica,,Capacitor  4.0 Mfd,,,,,,Capacitor Estado Sólido Mars 12386 4.0Mfd 450V,Grupo Coresa,COR-181201-00009504,44.07,Pieza
RF-CAP-2CC2,Capacitor de Trabajo 12 370 12Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 12 Mfd,,,,,,Capacitor de Trabajo 12 370 12Mfd 370V,Grupo Coresa,COR-181201-00009563,51.09,Pieza
RF-CAP-93F9,Capacitor de Trabajo 12 370 12Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 12 Mfd,,,,,,Capacitor de Trabajo 12 370 12Mfd 370V,Grupo Coresa,COR-181201-00009563,51.09,Pieza
RF-CAP-12D2,Capacitor de Trabajo EC-CM37025+5 25+5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 5 Mfd,,,,,,Capacitor de Trabajo EC-CM37025+5 25+5Mfd 370V,Grupo Coresa,COR-181201-00009663,66.21,Pieza
RF-CAP-9B6C,Capacitor de Trabajo EC-CM37025+5 25+5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 5 Mfd,,,,,,Capacitor de Trabajo EC-CM37025+5 25+5Mfd 370V,Grupo Coresa,COR-181201-00009663,66.21,Pieza
RF-CON-7394,Contactor Mars 17427 2 Polos 40 Amperes Bobina 220V,Refacciones Menores,Contactores,Genérica,,Contactor 2 Polos 40A,,,,,,Contactor Mars 17427 2 Polos 40 Amperes Bobina 220V,Grupo Coresa,COR-181201-00009704,352.54,Pieza
RF-CON-1167,Contactor Mars 17427 2 Polos 40 Amperes Bobina 220V,Refacciones Menores,Contactores,Genérica,,Contactor 2 Polos 40A,,,,,,Contactor Mars 17427 2 Polos 40 Amperes Bobina 220V,Grupo Coresa,COR-181201-00009704,352.54,Pieza
RF-CAP-1042,Capacitor de Trabajo EC-CM37040+5 40+5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 5 Mfd,,,,,,Capacitor de Trabajo EC-CM37040+5 40+5Mfd 370V,Grupo Coresa,COR-181201-00009763,83.97,Pieza
RF-CAP-C791,Capacitor de Trabajo EC-CM37040+5 40+5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 5 Mfd,,,,,,Capacitor de Trabajo EC-CM37040+5 40+5Mfd 370V,Grupo Coresa,COR-181201-00009763,83.97,Pieza
RF-CAP-6C30,Capacitor de Trabajo EC-CM3707.5 7.5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 7.5 Mfd,,,,,,Capacitor de Trabajo EC-CM3707.5 7.5Mfd 370V,Grupo Coresa,COR-181201-00009863,33.99,Pieza
RF-CAP-E902,Capacitor de Trabajo EC-CM3707.5 7.5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 7.5 Mfd,,,,,,Capacitor de Trabajo EC-CM3707.5 7.5Mfd 370V,Grupo Coresa,COR-181201-00009863,33.99,Pieza
RF-CAP-1F7D,Capacitor de Marcha Copeland 914-0037-12 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor de Marcha Copeland 914-0037-12 370V,,,,,,Capacitor de Marcha Copeland 914-0037-12 370V,Grupo Coresa,COR-181201-00009965,568.6,Pieza
RF-CAP-FCFC,Capacitor de Marcha Copeland 914-0037-12 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor de Marcha Copeland 914-0037-12 370V,,,,,,Capacitor de Marcha Copeland 914-0037-12 370V,Grupo Coresa,COR-181201-00009965,568.6,Pieza
TMP-867E7342,Relevador Schrack RUMC3AB1F7 127V,Otros,Otros,Genérica,,Relevador Schrack RUMC3AB1F7 127V,,,,,,Relevador Schrack RUMC3AB1F7 127V,Grupo Coresa,COR-181201-00009977,157.11,Pieza
TMP-EEF3585E,Relevador Schrack RUMC3AB1F7 127V,Otros,Otros,Genérica,,Relevador Schrack RUMC3AB1F7 127V,,,,,,Relevador Schrack RUMC3AB1F7 127V,Grupo Coresa,COR-181201-00009977,157.11,Pieza
RF-CAP-EA56,Capacitor de Trabajo Mars 12107 7.5Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 7.5 Mfd,,,,,,Capacitor de Trabajo Mars 12107 7.5Mfd 440V,Grupo Coresa,COR-190105-00007979,171.67,Pieza
RF-CAP-2590,Capacitor de Trabajo Mars 12107 7.5Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 7.5 Mfd,,,,,,Capacitor de Trabajo Mars 12107 7.5Mfd 440V,Grupo Coresa,COR-190105-00007979,171.67,Pieza
RF-CAP-9E69,Capacitor de Trabajo Mars 12032 10Mfd 440V Ovalado,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 10 Mfd,,,,,,Capacitor de Trabajo Mars 12032 10Mfd 440V Ovalado,Grupo Coresa,COR-190108-00003089,189.65,Pieza
RF-CAP-82F8,Capacitor de Trabajo Mars 12032 10Mfd 440V Ovalado,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 10 Mfd,,,,,,Capacitor de Trabajo Mars 12032 10Mfd 440V Ovalado,Grupo Coresa,COR-190108-00003089,189.65,Pieza
TMP-5A9EFF43,Interruptor Termomagnético Square D HDA36100 3 Polos 100 Ampers 18Ka 480Vca,Otros,Otros,Genérica,,Interruptor Termomagnético Square D HDA36100 3 Polos 100 Ampers 18Ka 480Vca,,,,,,Interruptor Termomagnético Square D HDA36100 3 Polos 100 Ampers 18Ka 480Vca,Grupo Coresa,COR-190415-00047301,8666.37,Pieza
TMP-81EF7F03,Interruptor Termomagnético Square D HDA36100 3 Polos 100 Ampers 18Ka 480Vca,Otros,Otros,Genérica,,Interruptor Termomagnético Square D HDA36100 3 Polos 100 Ampers 18Ka 480Vca,,,,,,Interruptor Termomagnético Square D HDA36100 3 Polos 100 Ampers 18Ka 480Vca,Grupo Coresa,COR-190415-00047301,8666.37,Pieza
TMP-035C07BD,Monitor de Fase de Ahorro de Motor MS-201A 220V/440V (Sin Base Octal OT08),Otros,Otros,Genérica,,Monitor de Fase de Ahorro de Motor MS-201A 220V/440V (Sin Base Octal OT08),,,,,,Monitor de Fase de Ahorro de Motor MS-201A 220V/440V (Sin Base Octal OT08),Grupo Coresa,COR-190424-00019301,5742.0,Pieza
TMP-DA82531F,Monitor de Fase de Ahorro de Motor MS-201A 220V/440V (Sin Base Octal OT08),Otros,Otros,Genérica,,Monitor de Fase de Ahorro de Motor MS-201A 220V/440V (Sin Base Octal OT08),,,,,,Monitor de Fase de Ahorro de Motor MS-201A 220V/440V (Sin Base Octal OT08),Grupo Coresa,COR-190424-00019301,5742.0,Pieza
RF-CMP-01FF,Relevador Combo 1/2 para Compresor Danfoss 117U6020 CPR-6020,Refacciones Mayores,Compresores,Genérica,,Relevador Combo 1/2 para Compresor Danfoss 117U6020 CPR-6020,,,,,,Relevador Combo 1/2 para Compresor Danfoss 117U6020 CPR-6020,Grupo Coresa,COR-190903-00025901,94.08,Pieza
RF-CMP-D5F3,Relevador Combo 1/2 para Compresor Danfoss 117U6020 CPR-6020,Refacciones Mayores,Compresores,Genérica,,Relevador Combo 1/2 para Compresor Danfoss 117U6020 CPR-6020,,,,,,Relevador Combo 1/2 para Compresor Danfoss 117U6020 CPR-6020,Grupo Coresa,COR-190903-00025901,94.08,Pieza
RF-CAP-4C85,Capacitor de Trabajo CT-30-4 30+4Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 4 Mfd,,,,,,Capacitor de Trabajo CT-30-4 30+4Mfd 440V,Grupo Coresa,COR-191209-00088311,127.84,Pieza
RF-CAP-6FB5,Capacitor de Trabajo CT-30-4 30+4Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 4 Mfd,,,,,,Capacitor de Trabajo CT-30-4 30+4Mfd 440V,Grupo Coresa,COR-191209-00088311,127.84,Pieza
RF-CAP-D9C8,Capacitor de Trabajo CT-85-4 85Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 85 Mfd,,,,,,Capacitor de Trabajo CT-85-4 85Mfd 440V,Grupo Coresa,COR-200121-00069411,171.73,Pieza
RF-CAP-1536,Capacitor de Trabajo CT-85-4 85Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 85 Mfd,,,,,,Capacitor de Trabajo CT-85-4 85Mfd 440V,Grupo Coresa,COR-200121-00069411,171.73,Pieza
RF-CAP-6AEF,Capacitor de Trabajo Mars 12087 60Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 60 Mfd,,,,,,Capacitor de Trabajo Mars 12087 60Mfd 370V,Grupo Coresa,COR-200529-00044811,371.23,Pieza
RF-CAP-0A65,Capacitor de Trabajo Mars 12087 60Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 60 Mfd,,,,,,Capacitor de Trabajo Mars 12087 60Mfd 370V,Grupo Coresa,COR-200529-00044811,371.23,Pieza
TMP-7BB40D3A,Monitor de Fase Motor Saver 102A 190-480V,Otros,Otros,Genérica,,Monitor de Fase Motor Saver 102A 190-480V,,,,,,Monitor de Fase Motor Saver 102A 190-480V,Grupo Coresa,COR-200608-00097911,6294.38,Pieza
TMP-69186308,Monitor de Fase Motor Saver 102A 190-480V,Otros,Otros,Genérica,,Monitor de Fase Motor Saver 102A 190-480V,,,,,,Monitor de Fase Motor Saver 102A 190-480V,Grupo Coresa,COR-200608-00097911,6294.38,Pieza
RF-CAP-3AF5,Capacitor de Trabajo CT-35-7.5 35+7.5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 7.5 Mfd,,,,,,Capacitor de Trabajo CT-35-7.5 35+7.5Mfd 370V,Grupo Coresa,COR-200627-00025021,109.59,Pieza
RF-CAP-F1FB,Capacitor de Trabajo CT-35-7.5 35+7.5Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 7.5 Mfd,,,,,,Capacitor de Trabajo CT-35-7.5 35+7.5Mfd 370V,Grupo Coresa,COR-200627-00025021,109.59,Pieza
RF-CAP-E1D3,Capacitor de Trabajo Mars 12229 70Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 70 Mfd,,,,,,Capacitor de Trabajo Mars 12229 70Mfd 370V,Grupo Coresa,COR-210317-00051721,526.71,Pieza
RF-CAP-123E,Capacitor de Trabajo Mars 12229 70Mfd 370V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 70 Mfd,,,,,,Capacitor de Trabajo Mars 12229 70Mfd 370V,Grupo Coresa,COR-210317-00051721,526.71,Pieza
RF-CAP-7AA9,Capacitor de Arranque Mars 11042 43-56Mfd 220V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 56 Mfd,,,,,,Capacitor de Arranque Mars 11042 43-56Mfd 220V,Grupo Coresa,COR-210317-00061721,76.12,Pieza
RF-CAP-A546,Capacitor de Arranque Mars 11042 43-56Mfd 220V,Refacciones Menores,Capacitores,Genérica,,Capacitor Arranque 56 Mfd,,,,,,Capacitor de Arranque Mars 11042 43-56Mfd 220V,Grupo Coresa,COR-210317-00061721,76.12,Pieza
RF-CAP-03CD,Capacitor de Trabajo CT-30-5-4 30+5Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 5 Mfd,,,,,,Capacitor de Trabajo CT-30-5-4 30+5Mfd 440V,Grupo Coresa,COR-210827-00090031,77.15,Pieza
RF-CAP-8C8F,Capacitor de Trabajo CT-30-5-4 30+5Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 5 Mfd,,,,,,Capacitor de Trabajo CT-30-5-4 30+5Mfd 440V,Grupo Coresa,COR-210827-00090031,77.15,Pieza
RF-CAP-D286,Capacitor de Trabajo 45Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 45 Mfd,,,,,,Capacitor de Trabajo 45Mfd 440V,Grupo Coresa,COR-220202-00039331,118.34,Pieza
RF-CAP-C543,Capacitor de Trabajo 45Mfd 440V,Refacciones Menores,Capacitores,Genérica,,Capacitor Trabajo 45 Mfd,,,,,,Capacitor de Trabajo 45Mfd 440V,Grupo Coresa,COR-220202-00039331,118.34,Pieza
RF-CON-A0B1,Contactor para Refrigeración CCRF3P004 Coldtek 3 Polos 40 Ampers Bobina 24V 50-60 Hz DC,Refacciones Menores,Contactores,Genérica,,Contactor 3 Polos 40A,,,,,,Contactor para Refrigeración CCRF3P004 Coldtek 3 Polos 40 Ampers Bobina 24V 50-60 Hz DC,Grupo Coresa,COR-250118-00024461,261.41,Pieza
RF-CON-2EAE,Contactor para Refrigeración CCRF3P004 Coldtek 3 Polos 40 Ampers Bobina 24V 50-60 Hz DC,Refacciones Menores,Contactores,Genérica,,Contactor 3 Polos 40A,,,,,,Contactor para Refrigeración CCRF3P004 Coldtek 3 Polos 40 Ampers Bobina 24V 50-60 Hz DC,Grupo Coresa,COR-250118-00024461,261.41,Pieza
RF-CON-8EE0,Contactor para Refrigeración CCRF2P003 Coldtek 2 Polos 30 Ampers Bobina 110V 50-60 Hz AC,Refacciones Menores,Contactores,Genérica,,Contactor 2 Polos 30A,,,,,,Contactor para Refrigeración CCRF2P003 Coldtek 2 Polos 30 Ampers Bobina 110V 50-60 Hz AC,Grupo Coresa,COR-250118-00063461,155.66,Pieza
RF-CON-9DE3,Contactor para Refrigeración CCRF2P003 Coldtek 2 Polos 30 Ampers Bobina 110V 50-60 Hz AC,Refacciones Menores,Contactores,Genérica,,Contactor 2 Polos 30A,,,,,,Contactor para Refrigeración CCRF2P003 Coldtek 2 Polos 30 Ampers Bobina 110V 50-60 Hz AC,Grupo Coresa,COR-250118-00063461,155.66,Pieza
RF-CON-8EAB,Contactor para Refrigeración CCRF2P001 Coldtek 2 Polos 30 Ampers Bobina 24V 50-60 Hz DC,Refacciones Menores,Contactores,Genérica,,Contactor 2 Polos 30A,,,,,,Contactor para Refrigeración CCRF2P001 Coldtek 2 Polos 30 Ampers Bobina 24V 50-60 Hz DC,Grupo Coresa,COR-250118-00073461,155.66,Pieza
RF-CON-ED69,Contactor para Refrigeración CCRF2P001 Coldtek 2 Polos 30 Ampers Bobina 24V 50-60 Hz DC,Refacciones Menores,Contactores,Genérica,,Contactor 2 Polos 30A,,,,,,Contactor para Refrigeración CCRF2P001 Coldtek 2 Polos 30 Ampers Bobina 24V 50-60 Hz DC,Grupo Coresa,COR-250118-00073461,155.66,Pieza
RF-CON-E35B,Contactor para Refrigeración CCRF3P002 Coldtek 3 Polos de 30 a 40 Ampers Bobina 220V 50-60 Hz AC,Refacciones Menores,Contactores,Genérica,,Contactor para Refrigeración CCRF3P002 Coldtek 3 Polos de 30 a 40 Ampers Bobina 220V 50-60 Hz AC,,,,,,Contactor para Refrigeración CCRF3P002 Coldtek 3 Polos de 30 a 40 Ampers Bobina 220V 50-60 Hz AC,Grupo Coresa,COR-250118-00054461,265.41,Pieza
RF-CON-71C0,Contactor para Refrigeración CCRF3P002 Coldtek 3 Polos de 30 a 40 Ampers Bobina 220V 50-60 Hz AC,Refacciones Menores,Contactores,Genérica,,Contactor para Refrigeración CCRF3P002 Coldtek 3 Polos de 30 a 40 Ampers Bobina 220V 50-60 Hz AC,,,,,,Contactor para Refrigeración CCRF3P002 Coldtek 3 Polos de 30 a 40 Ampers Bobina 220V 50-60 Hz AC,Grupo Coresa,COR-250118-00054461,265.41,Pieza
TMP-5888120E,"Barrera Protectora de Flama FB12 FB12 Uniweld 12"" X 12""",Otros,Otros,Genérica,,"Barrera Protectora de Flama FB12 FB12 Uniweld 12"" X 12""",,,,,,"Barrera Protectora de Flama FB12 FB12 Uniweld 12"" X 12""",Grupo Coresa,COR-181201-00000005,584.06,Pieza
TMP-1A22AFAF,"Barrera Protectora de Flama FB12 FB12 Uniweld 12"" X 12""",Otros,Otros,Genérica,,"Barrera Protectora de Flama FB12 FB12 Uniweld 12"" X 12""",,,,,,"Barrera Protectora de Flama FB12 FB12 Uniweld 12"" X 12""",Grupo Coresa,COR-181201-00000005,584.06,Pieza
TMP-64B0FB9C,Antenita con Aereosello AD-R-ANT Adesa,Otros,Otros,Genérica,,Antenita con Aereosello AD-R-ANT Adesa,,,,,,Antenita con Aereosello AD-R-ANT Adesa,Grupo Coresa,COR-181201-00000054,44.66,Pieza
TMP-E8638063,Antenita con Aereosello AD-R-ANT Adesa,Otros,Otros,Genérica,,Antenita con Aereosello AD-R-ANT Adesa,,,,,,Antenita con Aereosello AD-R-ANT Adesa,Grupo Coresa,COR-181201-00000054,44.66,Pieza
TMP-15EF84B6,"Manguera 21060 Yellow Jacket 60"" Amarilla 1/4"" con mangueras",Otros,Otros,Genérica,,"Manguera 21060 Yellow Jacket 60"" Amarilla 1/4"" con mangueras",,,,,,"Manguera 21060 Yellow Jacket 60"" Amarilla 1/4"" con mangueras",Grupo Coresa,COR-181201-00000145,791.68,Pieza
TMP-80B38AD9,"Manguera 21060 Yellow Jacket 60"" Amarilla 1/4"" con mangueras",Otros,Otros,Genérica,,"Manguera 21060 Yellow Jacket 60"" Amarilla 1/4"" con mangueras",,,,,,"Manguera 21060 Yellow Jacket 60"" Amarilla 1/4"" con mangueras",Grupo Coresa,COR-181201-00000145,791.68,Pieza
TMP-8BF2EAD8,"Manguera Soft Magic H5SMBB Uniweld 60"" Azul",Otros,Otros,Genérica,,"Manguera Soft Magic H5SMBB Uniweld 60"" Azul",,,,,,"Manguera Soft Magic H5SMBB Uniweld 60"" Azul",Grupo Coresa,COR-181201-00000205,270.55,Pieza
TMP-539A4AE7,"Manguera Soft Magic H5SMBB Uniweld 60"" Azul",Otros,Otros,Genérica,,"Manguera Soft Magic H5SMBB Uniweld 60"" Azul",,,,,,"Manguera Soft Magic H5SMBB Uniweld 60"" Azul",Grupo Coresa,COR-181201-00000205,270.55,Pieza
