sku,nombre_estandarizado,grupo_general,grupo_especializado,marca,modelo,descripcion_tecnica,capacidad,voltaje,refrigerante,tipo_operacion,unidad,observaciones_equivalencia
EQ-MSI-1T220-013,Minisplit Inverter Mirage V32 1 Ton Solo Frío 220V,EQ,Minisplits Inverter,Mirage,V32,1 Ton 220V R32 Solo Frío 17 SEER,1 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-1T220-014,Minisplit Inverter York 1 Ton Frío-Calor 220V,EQ,Minisplits Residenciales,York,YHKF12,1 Ton 220V Frío-Calor Inverter 17 SEER,1 Ton,220V,R32,Frío-Calor,Pieza,High Wall
EQ-MSI-1T220-015,Minisplit Inverter Midea 1 Ton Solo Frío R32 220V,EQ,Equipos,Midea,1T 220V SF R32 Inverter,1T 220V SF R32 Inverter,,,,,Pieza,
EQ-MSI-1T220-016,Minisplit Inverter Midea 1 Ton Frío-Calor 220V,EQ,Equipos,Midea,1T 220V FC Inverter,1T 220V FC Inverter,,,,,Pieza,
EQ-MSI-1T220-017,Minisplit Inverter York 1 Ton Solo Frío 220V,EQ,Equipos,York,1T 220V SF Inverter,1T 220V SF Inverter,,,,,Pieza,
EQ-MSI-2T220-001,Minisplit Inverter Mirage X 2 Ton Solo Frío 220V,EQ,Minisplits Inverter,Mirage,Inverter X,2 Ton 220V Solo Frío,2 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-2T220-002,Minisplit Inverter Mirage Magnum 22 2 Ton Solo Frío 220V,EQ,Minisplits Inverter,Mirage,Magnum 22,2 Ton 220V Solo Frío,2 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-2T220-003,Minisplit Inverter Mirage Magnum 22 2 Ton Frío-Calor 220V,EQ,Minisplits Inverter,Mirage,Magnum 22,2 Ton 220V Frío-Calor,2 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-2T220-004,Minisplit Inverter Mirage X32 2 Ton Solo Frío 220V,EQ,Minisplits Inverter,Mirage,X32,2 Ton 220V Solo Frío,2 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-2T220-005,Minisplit Inverter Mirage 17 2 Ton Solo Frío 220V,EQ,Minisplits Inverter,Mirage,Inverter 17,2 Ton 220V Solo Frío 17 SEER,2 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-2T220-006,Minisplit Inverter Mirage X 2 Ton Frío-Calor 220V,EQ,Minisplits Inverter,Mirage,Inverter X,2 Ton 220V Frío-Calor 18.5 SEER,2 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-2T220-007,Minisplit Inverter Mirage V32 2 Ton Frío-Calor 220V,EQ,Minisplits Inverter,Mirage,V32,2 Ton 220V R32 Frío-Calor 17.7 SEER,2 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-2T220-008,Minisplit Inverter York Triple 2 Ton Frío-Calor 220V,EQ,Minisplits Inverter,York,Triple Inverter,2 Ton 220V R32 Frío-Calor 22 SEER,2 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-2T220-009,Minisplit Inverter Mirage X32 2 Ton Solo Frío 220V,EQ,Minisplits Inverter,Mirage,Inverter X32,2 Ton 220V R32 Solo Frío 17 SEER,2 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-2T220-010,Minisplit Inverter York 2 Ton Frío-Calor 220V 17 SEER,EQ,Minisplits Inverter,York,Inverter,2 Ton 220V R32 Frío-Calor 17 SEER,2 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-2T220-011,Minisplit Inverter York 2 Ton Solo Frío 220V 17 SEER,EQ,Minisplits Inverter,York,Inverter,2 Ton 220V R32 Solo Frío 17.04 SEER,2 Ton,220V,,Solo Frío,Pieza,
EQ-MSI-2T220-012,Minisplit Inverter York Triple 2 Ton Solo Frío 220V,EQ,Minisplits Residenciales,York,Triple Inverter,2 Ton 220V Solo Frío Inverter,2 Ton,220V,R410A,Solo Frío,Pieza,High Wall
EQ-MSI-2T220-013,Minisplit Inverter Mirage X32 2 Ton Solo Frío 220V,EQ,Minisplits Residenciales,Mirage,X32,2 Ton 220V Solo Frío Inverter,2 Ton,220V,R32,Solo Frío,Pieza,High Wall
EQ-MSI-2T220-014,Minisplit Inverter Prime 2 Ton Solo Frío 220V,EQ,Equipos,Prime,2T 220V SF Inverter,2T 220V SF Inverter,,,,,Pieza,
EQ-MSI-3T220-001,Minisplit Inverter Mirage 17 3 Ton Frío-Calor 220V,EQ,Minisplits Inverter,Mirage,Inverter 17,3 Ton 220V Frío-Calor,3 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-3T220-002,Minisplit Inverter Mirage Magnum 18 3 Ton Frío-Calor 220V,EQ,Minisplits Inverter,Mirage,Magnum 18,3 Ton 220V R410A Frío-Calor 18 SEER,3 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-3T220-003,Minisplit Inverter York 3 Ton Frío-Calor 220V 17 SEER,EQ,Minisplits Inverter,York,Inverter,3 Ton 220V R32 Frío-Calor 17.18 SEER,3 Ton,220V,,Frío-Calor,Pieza,
EQ-MSI-3T220-004,Minisplit Inverter Mirage Magnum 18 3 Ton Frío-Calor 220V,EQ,Minisplits Residenciales,Mirage,Magnum 18,3 Ton 220V Frío-Calor Inverter 18 SEER,3 Ton,220V,R410A,Frío-Calor,Pieza,High Wall
EQ-MSI-3T220-005,Minisplit Inverter York 3 Ton Frío-Calor 220V,EQ,Minisplits Residenciales,York,YHKF36,3 Ton 220V Frío-Calor Inverter 17 SEER,3 Ton,220V,R32,Frío-Calor,Pieza,High Wall
EQ-MSI-CAR-006,Minisplit Carrier Cool Easy Inverter F/C 3 Ton 220V,EQ,Equipos,Carrier,53AEQ363A,Minisplit Carrier Cool Easy Frío/Calor Inverter 220V,3 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CAR-007,Minisplit Carrier Puron Inverter F/C 1 Ton 110V,EQ,Equipos,Carrier,53PXQ121D,Minisplit Carrier Puron Frío/Calor Inverter 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-CAR-008,Minisplit Carrier Puron Inverter F/C 1.5 Ton 220V R32,EQ,Equipos,Carrier,53PXQ183D,"Minisplit Carrier Puron Frío/Calor Inverter 220V - 18,000 BTU / 1.5 TR / R32",1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CAR-009,Minisplit Carrier Puron Inverter F/C 2 Ton 220V R32,EQ,Equipos,Carrier,53PXQ243D,"Minisplit Carrier Puron Frío/Calor Inverter 220V - 24,000 BTU / 2 TR / R32",2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CAR-010,Minisplit Carrier Puron Inverter Solo Frío 1 Ton 220V R32,EQ,Equipos,Carrier,53PXC123D,"Minisplit Carrier Purón Solo Frío Inverter 220V - 12,000 BTU / 1 TR / R32",1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CAR-011,Minisplit Carrier Puron Inverter Solo Frío 1.5 Ton 220V R32,EQ,Equipos,Carrier,53PXC183D,"Minisplit Carrier Purón Solo Frío Inverter 220V - 18,000 BTU / 1.5 TR / R32",1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CAR-012,Minisplit Carrier Puron Inverter Solo Frío 2 Ton 220V R32,EQ,Equipos,Carrier,53PXC243D,"Minisplit Carrier Purón Solo Frío Inverter 220V - 24,000 BTU / 2 TR / R32",2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-001,Minisplit CIAC Inverter Frío/Calor 1 Ton 110V R32,EQ,Equipos,CIAC,53VSQ121F,Minisplit CIAC Frío/Calor Inverter - 12000 BTU / 1 TR / R32 / 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-CIA-002,Minisplit CIAC Inverter Frío/Calor 1 Ton 220V R32,EQ,Equipos,CIAC,53VSQ123F,Minisplit CIAC Frío/Calor Inverter - 12000 BTU / 1 TR / R32 / 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-003,Minisplit CIAC Inverter Frío/Calor 1.5 Ton 220V R32,EQ,Equipos,CIAC,53VSQ183F,Minisplit CIAC Frío/Calor Inverter - 18000 BTU / 1.5 TR / R32 / 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-004,Minisplit CIAC Inverter Frío/Calor 2 Ton 220V R32,EQ,Equipos,CIAC,53VSQ243F,Minisplit CIAC Frío/Calor Inverter - 24000 BTU / 2 TR / R32 / 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-005,Minisplit CIAC Frío/Calor 1 Ton 110V R410,EQ,Equipos,CIAC,53FXQ121F,Minisplit CIAC Frío/Calor - 12000 BTU / 1 TR / R410 / 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-CIA-006,Minisplit CIAC Frío/Calor 1 Ton 220V R410,EQ,Equipos,CIAC,53FXQ123F,Minisplit CIAC Frío/Calor - 12000 BTU / 1 TR / R410 / 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-007,Minisplit CIAC Frío/Calor 1.5 Ton 220V R410,EQ,Equipos,CIAC,53FXQ183F,Minisplit CIAC Frío/Calor - 18000 BTU / 1.5 TR / R410 / 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-008,Minisplit CIAC Frío/Calor 2 Ton 220V R410,EQ,Equipos,CIAC,53FXQ243F,Minisplit CIAC Frío/Calor - 24000 BTU / 2 TR / R410 / 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-009,Minisplit CIAC Inverter Solo Frío 1 Ton 110V R32,EQ,Equipos,CIAC,53VSC121F,Minisplit CIAC Solo Frío Inverter - 12000 BTU / 1 TR / R32 / 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-CIA-010,Minisplit CIAC Inverter Solo Frío 1 Ton 220V R32,EQ,Equipos,CIAC,53VSC123F,Minisplit CIAC Solo Frío Inverter - 12000 BTU / 1 TR / R32 / 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-011,Minisplit CIAC Inverter Solo Frío 1.5 Ton 220V R32,EQ,Equipos,CIAC,53VSC183F,Minisplit CIAC Solo Frío Inverter - 18000 BTU / 1.5 TR / R32 / 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-012,Minisplit CIAC Inverter Solo Frío 2 Ton 220V R32,EQ,Equipos,CIAC,53VSC243F,Minisplit CIAC Solo Frío Inverter - 24000 BTU / 2 TR / R32 / 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-013,Minisplit CIAC Solo Frío 1 Ton 110V,EQ,Equipos,CIAC,53FXC121F,Minisplit CIAC Solo Frío 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-CIA-014,Minisplit CIAC Solo Frío 1 Ton 220V R410,EQ,Equipos,CIAC,53FXC123F,Minisplit CIAC Solo Frío 220V - 12000 BTU / 1 TR / R410,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-015,Minisplit CIAC Solo Frío 1.5 Ton 220V R410,EQ,Equipos,CIAC,53FXC183F,Minisplit CIAC Solo Frío 220V - 18000 BTU / 1.5 TR / R410,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-CIA-016,Minisplit CIAC Solo Frío 2 Ton 220V R410,EQ,Equipos,CIAC,53FXC243F,Minisplit CIAC Solo Frío 220V - 24000 BTU / 2 TR / R410,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-011,Minisplit Hisense 1 Ton Frío/Calor 110V,EQ,Equipos,Hisense,AH121CK,Minisplit 1 Ton Frío y Calor Estándar 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-HIS-012,Minisplit Hisense 1.5 Ton Frío/Calor 220V,EQ,Equipos,Hisense,AH182CF,Minisplit 1.5 Ton Frío y Calor Estándar 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-013,Minisplit Hisense 2 Ton Frío/Calor 220V,EQ,Equipos,Hisense,AH242CF,Minisplit 2 Ton Frío/Calor Estándar 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-014,Minisplit Hisense 2 Ton Solo Frío 220V,EQ,Equipos,Hisense,AC242CF,Minisplit 2 Ton Solo Frio 220V Estándar,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-015,Minisplit Hisense 1.5 Ton Solo Frío 220V,EQ,Equipos,Hisense,AC182CF,Minisplit 1.5 Ton Solo Frío 220V Estándar,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-016,Minisplit Hisense WiFi Inverter 1.5 Ton Frío/Calor,EQ,Equipos,Hisense,AU182CBW,Minisplit Wfi Inverter 1.5 Toneladas F/C 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-017,Minisplit Hisense WiFi Inverter 2 Ton Solo Frío,EQ,Equipos,Hisense,AT242CBW,Minisplit Hisense Wifi Inverter 2 Ton Solo Frio 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-018,Minisplit Hisense Estándar 1.5 Ton Frío/Calor 220V,EQ,Equipos,Hisense,AH182TD,Minisplit Hisense Estandar 1.5 Ton Frío/Calor 220 V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-HIS-019,Minisplit Inverter Hisense WiFi 1.5 Ton Solo Frío 220V,EQ,Minisplit Inverter,Hisense,ART182KAW,Minisplit Inverter 1.5 Ton WiFi,1.5 Ton,220V,NA,Inverter,Pieza,Equipo
EQ-MSI-HIS-020,Minisplit Inverter Hisense 1 Ton Solo Frío 220V,EQ,Equipos,Hisense,1 Ton Solo Frío Inverter 220V,1 Ton Solo Frío Inverter 220V,,,,,Pieza,
EQ-MSI-HIS-021,Minisplit Inverter Hisense 1 Ton Frío-Calor 110V R410A,EQ,Equipos,Hisense,,1 Ton Frío-Calor Inverter 110V R410A,,,,,Pieza,
EQ-MSI-HIS-022,Minisplit Inverter Hisense WiFi 1 Ton Solo Frío 220V,EQ,Equipos,Hisense,,1 Ton Solo Frío Inverter WiFi 220V,,,,,Pieza,
EQ-MSI-LG-003,Minisplit LG Artcool Espejo WiFi Solo Frío 2 Ton,EQ,Equipos,LG,VR242CW,Minisplit Artcool Espejo Wifi Solo Frío 2 Ton 220V Inverter,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LG-004,Minisplit LG Artcool Espejo WiFi Solo Frío 1 Ton,EQ,Equipos,LG,VR122CW,Minisplit 1 Ton Solo Frío Artcool Espejo Wifi Inverter 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LG-005,Minisplit LG Dual Solo Frío 1 Ton Inverter,EQ,Equipos,LG,VM122C9,Minisplit Dual 1 Ton Solo Frío 220V Inverter,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LG-006,Minisplit LG Dual Cool 1.5 Ton Solo Frío,EQ,Equipos,LG,VM182C9,Minisplit Dual Cool 1.5 Ton Solo Frío Inverter 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LG-007,Minisplit LG Dual Cool 1 Ton Solo Frío 110V,EQ,Equipos,LG,VM121C9,Minisplit Dcool 1 Ton Solo Frío Inverter 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-LG-008,Minisplit LG Dual Inverter Frío/Calor 1.5 Ton,EQ,Equipos,LG,VM182H9,Minisplit Dual Inverter Frio/Calor 1.5 Ton 220/1 R410A,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LG-009,Minisplit LG Dual Inverter Solo Frío 2 Ton,EQ,Equipos,LG,VM242C9,Minisplit Lg Dual Inverter Solo Frio 2 Ton 220/1 R410,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LG-018,Minisplit Inverter LG 3 Ton Frío-Calor 220V,EQ,Minisplit Inverter,LG,SW362H8,Minisplit Inverter 3 Ton F/C,3 Ton,220V,R410A,Inverter,Pieza,Equipo
EQ-MSI-LG-019,Minisplit LG Artcool Mirror Inverter 1.5 Ton Solo Frío 220V,EQ,Equipos,LG,1.5 Ton Solo Frío 220V,1.5 Ton Solo Frío 220V,,,,,Pieza,
EQ-MSI-LG-020,Minisplit Inverter LG Artcool Mirror 2 Ton Frío-Calor 220V,EQ,Equipos,LG,2T 220V FC Inverter,2T 220V FC Inverter,,,,,Pieza,
EQ-MSI-LG-021,Minisplit Inverter LG Dual Cool 1 Ton Frío-Calor 220V,EQ,Equipos,LG,1T 220V FC Inverter,1T 220V FC Inverter,,,,,Pieza,
EQ-MSI-LGE-007,Minisplit LG Artcool Inverter F/C 1 Ton 220V,EQ,Equipos,LG,VR122HD,Minisplit LG Frío/Calor Inverter 220V - 12000 BTU / 1TR / R410,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-008,Minisplit LG Artcool Inverter F/C 1.5 Ton 220V,EQ,Equipos,LG,VR182HW,Minisplit LG Frío/Calor Inverter 220V - 18000 BTU / 1.5TR / R410,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-009,Minisplit LG Artcool Inverter F/C 2 Ton 220V,EQ,Equipos,LG,VR242HW,Minisplit LG Frío/Calor Inverter 220V - 24000 BTU / 2TR / R410,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-010,Minisplit LG Artcool Inverter F/C 3 Ton 220V,EQ,Equipos,LG,SW362H8,Minisplit LG Frío/Calor Inverter 220V - 36000 BTU / 3TR / R410,3 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-011,Minisplit LG Dualcool Inverter F/C 1 Ton 110V,EQ,Equipos,LG,VM121H9,Minisplit LG Frío/Calor 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-LGE-012,Minisplit LG Inverter Solo Frío 1 Ton 220V,EQ,Equipos,LG,VR122CW,Minisplit LG Solo Frío Inverter 220V - 12000 BTU/1TR / R410,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-013,Minisplit LG Inverter Solo Frío 1.5 Ton 220V,EQ,Equipos,LG,VR182CW,Minisplit LG Solo Frío Inverter 220V - 18000 BTU/1.5TR / R410,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-014,Minisplit LG Inverter Solo Frío 2 Ton 220V,EQ,Equipos,LG,VR242CW,Minisplit LG Solo Frío Inverter 220V - 24000 BTU/2TR / R410,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-015,Minisplit LG Dualcool Inverter F/C 1 Ton 220V,EQ,Equipos,LG,VM122H9,Minisplit LG Frío/Calor 220V - 12000 BTU/1TR / R410,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-016,Minisplit LG Dualcool Inverter F/C 1.5 Ton 220V,EQ,Equipos,LG,VM182H9,Minisplit LG Frío/Calor 220V - 18000 BTU/1.5TR / R410,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-LGE-017,Minisplit LG Dualcool Inverter F/C 2 Ton 220V,EQ,Equipos,LG,VM242H9,Minisplit LG Frío/Calor 220V - 24000 BTU/2TR / R410,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-MID-004,Minisplit Midea 1 Ton Frío/Calor 220V Estándar,EQ,Equipos,Midea,MAS12H2AGO,Minisplit Midea 1 Ton Frio/Calor 220V Estándar,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-MID-005,Minisplit Midea 1 Ton Inverter Solo Frío 220V,EQ,Equipos,Midea,MSMV-12CR,Minisplit Midea 1 Ton Solo Frio 220V Inverter,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-MID-006,Minisplit Midea 1.5 Ton Solo Frío 220V Estándar,EQ,Equipos,Midea,MAS18C2AGO,Minisplit Midea 1.5 Ton. Solo Frio 220V Estándar,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-MID-007,Minisplit Inverter Midea ECMT 1 Ton Solo Frío 220V R32,EQ,Equipos,Midea,,1 Ton Solo Frío Inverter 220V R32,,,,,Pieza,
EQ-MSI-MID-008,Minisplit Inverter Midea 1.5 Ton Solo Frío 220V,EQ,Equipos,Midea,,1.5 Ton Solo Frío Inverter 220V,,,,,Pieza,
EQ-MSI-PRI-011,Minisplit Prime 1 Ton Frío/Calor Inverter 220V,EQ,Equipos,Prime,EMPRN122-R3,Minisplit 1 Ton Frío/Calor Inverter R32 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-012,Minisplit Prime 1 Ton Frío/Calor Estándar 110V,EQ,Equipos,Prime,EMPRN121-K,Minisplit 1 Ton Frío/Calor Estándar 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-PRI-013,Minisplit Prime Elite 2 2 Ton Solo Frío 220V,EQ,Equipos,Prime,EMPRC242-E2,Minisplit 2 Ton Elite 2 Solo Frío 220V Estándar,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-014,Minisplit Prime 2 Ton Solo Frío Inverter 220V,EQ,Equipos,Prime,EMPRC242-W,Minisplit Prime 2 Ton Solo Frio Inverter 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-015,Minisplit Prime 2 Ton Frío/Calor Estándar 220V,EQ,Equipos,Prime,EMPRN242-K,Minisplit Prime 2 Ton Frio/Calor Estándar 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-016,Minisplit Prime 2 Ton Frío/Calor Inverter 220V,EQ,Equipos,Prime,EMPRN242-W,Minisplit Prime 2 Ton Frio/Calor Inverter 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-017,Minisplit Prime 1 Ton Solo Frío Inverter 220V,EQ,Equipos,Prime,EMPRC122-W,Minisplit Prime 1 Ton Solo Frio Inverter 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-018,Minisplit Prime 1 Ton Solo Frío Inverter 110V,EQ,Equipos,Prime,EMPRC121-W,Minisplit Prime 1 Ton Solo Frio Inverter 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-PRI-019,Minisplit Prime 1 Ton Frío/Calor Estándar 220V,EQ,Equipos,Prime,EMPRN122-K,Minisplit Prime 1 Ton Frio/Calor Estándar 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-020,Minisplit Prime 1.5 Ton Solo Frío Inverter 220V,EQ,Equipos,Prime,EMPRC182-W,Minisplit Prime 1.5 Ton Solo Frio Inverter 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-021,Minisplit Prime 1.5 Ton Frío/Calor Estándar 220V,EQ,Equipos,Prime,EMPRN182-K,Minisplit Prime 1.5 Ton Frio/Calor Estándar 220V,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-PRI-023,Minisplit Inverter Prime Brgt 1.5 Ton Solo Frío 220V,EQ,Minisplit Inverter,Prime,EMPRC182-B,Minisplit Brgt Inverter 1.5 Ton,1.5 Ton,220V,R410A,Inverter,Pieza,Equipo
EQ-MSI-PRI-024,Minisplit Prime Brgth 1 Ton Solo Frío Inverter 220V,EQ,Equipos,Prime,1T 220V SF Inverter,1T 220V SF Inverter,,,,,Pieza,
EQ-MSI-PRI-025,Minisplit Inverter Prime Brgth 1 Ton Solo Frío 220V,EQ,Equipos,Prime,1 Ton Solo Frío Inverter 220V,1 Ton Solo Frío Inverter 220V,,,,,Pieza,
EQ-MSI-PRI-026,Minisplit Inverter Prime 1 Ton Frío-Calor 110V,EQ,Equipos,Prime,,1 Ton Frío-Calor Inverter 110V,,,,,Pieza,
EQ-MSI-PRI-027,Minisplit Inverter Prime 1.5 Ton Frío-Calor 220V,EQ,Equipos,Prime,,1.5 Ton Frío-Calor Inverter 220V,,,,,Pieza,
EQ-MSI-PRI-028,Minisplit Inverter Prime 1 Ton Frío-Calor 110V R32,EQ,Equipos,Prime,,1 Ton Frío-Calor Inverter 110V R32,,,,,Pieza,
EQ-MSI-PRI-029,Minisplit Inverter Prime 2 Ton Solo Frío 220V R32,EQ,Equipos,Prime,,2 Ton Solo Frío Inverter 220V R32,,,,,Pieza,
EQ-MSI-SAM-002,Minisplit Samsung 1.5 Ton Solo Frío 220V,EQ,Equipos,Samsung,AR18BRHQEWK/AX,Minisplit 1.5 Ton Solo Frío 220V Estándar,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TCL-001,Minisplit TCL 1 Ton Solo Frío Estándar 110V,EQ,Equipos,TCL,S12P-ECF12,Minisplit 1 Ton Solo Frío Estándar 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-TCL-002,Minisplit TCL 1 Ton Frío/Calor Inverter 110V,EQ,Equipos,TCL,S12P-EHV13,Minisplit 1 Ton Frío y Calor Inverter R410A 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-TCL-003,Minisplit TCL 1 Ton Solo Frío Inverter,EQ,Equipos,TCL,S12P-ECV13,Minisplit 1 Ton Solo Frío Inverter R410A 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-TCL-004,Minisplit TCL 1 Ton Frío/Calor Inverter 220V,EQ,Equipos,TCL,S12P-EHV23,Minisplit 1 Ton Frio Calor Inverter R410A 220V,1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TCL-005,Minisplit TCL 2 Ton Solo Frío Inverter 220V,EQ,Equipos,TCL,S24P-ECV23,Minisplit 2 Ton Solo Frio Inverter R410A 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TCL-006,Minisplit TCL 2 Ton Frío/Calor Inverter 220V,EQ,Equipos,TCL,S24P-EHV23,Minisplit 2 Ton Frio Calor Inverter R410A 220V,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-001,Minisplit Trane Solo Frío 1 Ton 220V,EQ,Equipos,Trane,4MCW1512A1/4TTK1512A1,"Minisplit Trane Solo Frío 220V - 12,000 BTU / 1 TR / R410",1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-002,Minisplit Trane Solo Frío 2 Ton 220V,EQ,Equipos,Trane,4MCW1524A/4TTK1524A,"Minisplit Trane Solo Frío 220V - 24,000 BTU / 2 TR / R410",2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-003,Minisplit Trane Solo Frío 1 Ton 110V,EQ,Equipos,Trane,4MCW1512A9/4TTK1512A9,Minisplit Trane Solo Frío 110V,1 Ton,110 V,,Minisplit,Equipo,
EQ-MSI-TRA-004,Minisplit Trane Inverter F/C 1 Ton 220V,EQ,Equipos,Trane,4MXW1612A/4TXK1612A,"Minisplit Trane Frío/Calor Inverter 220V - 12,000 BTU / 1 TR / R410",1 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-005,Minisplit Trane Inverter F/C 1.5 Ton 220V,EQ,Equipos,Trane,4MXW1618A/4TXK1624A,Minisplit Trane Frío/Calor Inverter 220V - 18000 BTU / 1.5 TR / R410,1.5 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-006,Minisplit Trane Inverter F/C 2 Ton 220V,EQ,Equipos,Trane,4MWW1624A/4TWK1624A,Minisplit Trane Frío/Calor Inverter 220V - 24000 BTU / 2 TR / R410,2 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-007,Minisplit Trane Inverter F/C 3 Ton 220V,EQ,Equipos,Trane,4MXW2336A/4TXK2336A,Minisplit Trane Frío/Calor Inverter 220V - 36000 BTU / 3TR / R410,3 Ton,220 V,,Minisplit,Equipo,
EQ-MSI-TRA-008,Minisplit Trane Estándar F/C 1 Ton 110V,EQ,Equipos,Trane,4MWW1512A9/4TWK1512A9,Minisplit Trane Frío/Calor 110V,1 Ton,110 V,,Minisplit,Equipo,
